"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataPengungsi/Tabel.js", "JavaScript", 77, 0, 6, 12, 95
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataPengungsi/TabelItem.js", "JavaScript", 36, 0, 5, 4, 45
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataPengungsi/index.js", "JavaScript", 28, 0, 5, 7, 40
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataPosko/DataPosko.css", "CSS", 0, 38, 0, 6, 44
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataPosko/DataPosko.js", "JavaScript", 35, 0, 1, 4, 40
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataPosko/DataPoskoById.js", "JavaScript", 199, 0, 4, 9, 212
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataPosko/Map.js", "JavaScript", 47, 0, 1, 4, 52
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataPosko/TabelPengungsi.js", "JavaScript", 74, 0, 1, 6, 81
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataPosko/TabelPetugas.js", "JavaScript", 61, 0, 0, 6, 67
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataPosko/index.js", "JavaScript", 93, 0, 5, 11, 109
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/LoginAdmin.js", "JavaScript", 132, 0, 5, 12, 149
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/MainAdmin.js", "JavaScript", 54, 0, 1, 8, 63
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/MapPosko/index.js", "JavaScript", 93, 0, 2, 9, 104
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/PermintaanBantuan/DataPermintaan.js", "JavaScript", 48, 0, 1, 4, 53
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/PermintaanBantuan/PermintaanBantuanById.js", "JavaScript", 82, 0, 19, 9, 110
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/PermintaanBantuan/TabelData.js", "JavaScript", 64, 0, 0, 6, 70
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/PermintaanBantuan/index.js", "JavaScript", 96, 0, 5, 10, 111
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/PermintaanBantuan/style.css", "CSS", 0, 3, 0, 0, 3
"/Users/ardhian/Documents/TA FIX/my-final-project/src/App.css", "CSS", 0, 33, 0, 6, 39
"/Users/ardhian/Documents/TA FIX/my-final-project/src/App.js", "JavaScript", 277, 0, 13, 13, 303
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Coba.js", "JavaScript", 15, 0, 1, 3, 19
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Components/401.js", "JavaScript", 40, 0, 1, 4, 45
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Components/404.js", "JavaScript", 5, 0, 0, 3, 8
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Components/Footer.js", "JavaScript", 18, 0, 0, 3, 21
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Components/Header.css", "CSS", 0, 12, 0, 3, 15
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Components/Header.js", "JavaScript", 46, 0, 0, 4, 50
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Components/LoginCoba.js", "JavaScript", 69, 0, 12, 4, 85
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Components/MenuBar.js", "JavaScript", 192, 0, 5, 19, 216
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Components/MenuBars.js", "JavaScript", 156, 0, 9, 8, 173
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Components/Modal.js", "JavaScript", 105, 0, 1, 8, 114
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Components/Snackbars.js", "JavaScript", 45, 0, 0, 8, 53
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Components/Spinner.js", "JavaScript", 17, 0, 1, 2, 20
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Components/Tabel.js", "JavaScript", 55, 0, 0, 6, 61
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Components/footer.css", "CSS", 0, 10, 0, 0, 10
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Error.js", "JavaScript", 5, 0, 0, 2, 7
"/Users/ardhian/Documents/TA FIX/my-final-project/src/MainPage/InfoDonasi.js", "JavaScript", 48, 0, 0, 2, 50
"/Users/ardhian/Documents/TA FIX/my-final-project/src/MainPage/MainPage.js", "JavaScript", 208, 0, 1, 12, 221
"/Users/ardhian/Documents/TA FIX/my-final-project/src/MainPage/MapMain.js", "JavaScript", 91, 0, 4, 9, 104
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Petugas/Components/MenuPetugas.js", "JavaScript", 70, 0, 1, 7, 78
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Petugas/Pages/LaporanBencana/FasumPenanganan.js", "JavaScript", 267, 0, 3, 14, 284
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Petugas/Pages/LaporanBencana/KejadianBencana.js", "JavaScript", 352, 0, 4, 14, 370
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Petugas/Pages/LaporanBencana/KorbanJiwa.js", "JavaScript", 281, 0, 2, 17, 300
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Petugas/Pages/LaporanBencana/LaporanKerusakan.js", "JavaScript", 449, 0, 18, 18, 485
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Petugas/Pages/LaporanBencana/MenuLaporanBencana.js", "JavaScript", 132, 0, 1, 9, 142
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Petugas/Pages/LaporanBencana/NoDataBencana.js", "JavaScript", 96, 0, 2, 9, 107
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Petugas/Pages/LaporanBencana/Tabel.js", "JavaScript", 101, 0, 0, 7, 108
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Petugas/Pages/LaporanBencana/TabelKerusakan.js", "JavaScript", 105, 0, 0, 7, 112
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Petugas/Pages/LaporanBencana/index.js", "JavaScript", 39, 0, 1, 6, 46
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Petugas/Pages/LaporanBencana/style.css", "CSS", 0, 8, 1, 1, 10
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Petugas/Pages/LoginPetugas.js", "JavaScript", 125, 0, 1, 12, 138
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Petugas/Pages/MainPetugas.js", "JavaScript", 60, 0, 1, 8, 69
